iter	Passed	Remaining
0	1	101
1	1	89
2	2	87
3	3	82
4	4	81
5	4	77
6	5	75
7	6	79
8	7	78
9	8	77
10	9	76
11	10	76
12	11	75
13	12	74
14	13	73
15	13	72
16	14	71
17	15	71
18	16	70
19	17	69
20	18	68
21	19	68
22	20	67
23	21	67
24	22	66
25	22	64
26	23	63
27	24	62
28	25	62
29	26	61
30	27	61
31	28	60
32	30	62
33	31	61
34	32	60
35	33	59
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	45	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	42
54	49	40
55	50	40
56	52	39
57	52	38
58	54	37
59	55	36
60	56	35
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	73	19
79	74	18
80	74	17
81	75	16
82	76	15
83	76	14
84	77	13
85	78	12
86	78	11
87	79	10
88	79	9
89	80	8
90	81	8
91	81	7
92	82	6
93	82	5
94	83	4
95	84	3
96	84	2
97	85	1
98	86	0
99	86	0
